Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,UNIT_MEASURE,Time period details,Source details,Value
2016,Normal value,Units,Proportion of population subjected to physical or sexual violence in the previous 12 months,,Female,Percent,2016,,55.5
2016,Normal value,Units,Proportion of population subjected to physical or sexual violence in the previous 12 months,,Male,Percent,2016,,53.7
2016,Normal value,Units,"""Proportion of population subjected to physical",,Female,Percent,,Uganda Demographic Health Survey,29.9
2022,Normal value,Units,"""Proportion of population subjected to physical",,Female,Percent,,Uganda Demographic Health Survey,29.4
2016,Normal value,Units,"""Proportion of population subjected to physical",,Male,Percent,,Uganda Demographic Health Survey,16.0
2022,Normal value,Units,"""Proportion of population subjected to physical",,Male,Percent,,Uganda Demographic Health Survey,11.3
2016,Normal value,Units,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],,Female,Percent,,Uganda Demographic Health Survey,22.5
2022,Normal value,Units,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],,Female,Percent,,Uganda Demographic Health Survey,24.8
2016,Normal value,Units,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],,Male,Percent,,Uganda Demographic Health Survey,12.0
2022,Normal value,Units,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],,Male,Percent,,Uganda Demographic Health Survey,8.7
2016,Normal value,Units,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],,Female,Percent,,Uganda Demographic Health Survey,16.6
2022,Normal value,Units,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],,Female,Percent,,Uganda Demographic Health Survey,12.7
2016,Normal value,Units,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],,Male,Percent,,Uganda Demographic Health Survey,5.7
2022,Normal value,Units,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],,Male,Percent,,Uganda Demographic Health Survey,4.3
