Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,Value
2016,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_P7,PT,61.5
2017,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_P7,PT,60.0
2018,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_P7,PT,62.8
2019,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_P7,PT,62.9
2020,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_P7,PT,67.2
2016,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_S4,PT,37.8
2017,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_S4,PT,34.8
2018,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_S4,PT,34.2
2019,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_S4,PT,33.6
2020,A,0,NAPE,SE_TOT_CPLR,,,_L_UG_S4,PT,32.4
2016,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_P7,PT,63.4
2017,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_P7,PT,60.0
2018,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_P7,PT,65.8
2019,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_P7,PT,66.5
2020,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_P7,PT,72.2
2016,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_S4,PT,36.0
2017,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_S4,PT,33.5
2018,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_S4,PT,33.9
2019,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_S4,PT,33.9
2020,A,0,NAPE,SE_TOT_CPLR,,F,_L_UG_S4,PT,32.7
2016,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_P7,PT,59.7
2017,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_P7,PT,59.3
2018,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_P7,PT,59.5
2019,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_P7,PT,59.4
2020,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_P7,PT,62.0
2016,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_S4,PT,39.6
2017,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_S4,PT,36.2
2018,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_S4,PT,34.5
2019,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_S4,PT,33.4
2020,A,0,NAPE,SE_TOT_CPLR,,M,_L_UG_S4,PT,32.1
