Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,National Accounts Statistics,NV_IND_MANF,,PT,17.5
2016,A,0,National Accounts Statistics,NV_IND_MANF,,PT,15.3
2017,A,0,National Accounts Statistics,NV_IND_MANF,,PT,15.7
2018,A,0,National Accounts Statistics,NV_IND_MANF,,PT,15.7
2019,A,0,National Accounts Statistics,NV_IND_MANF,,PT,15.5
2020,A,0,National Accounts Statistics,NV_IND_MANF,,PT,16.0
2021,A,0,National Accounts Statistics,NV_IND_MANF,,PT,16.3
2022,A,0,National Accounts Statistics,NV_IND_MANF,,PT,16.1
2023,A,0,National Accounts Statistics,NV_IND_MANF,,PT,15.2
2015,A,0,National Accounts Statistics,NV_IND_MANFPC,,PT,149.0
2016,A,0,National Accounts Statistics,NV_IND_MANFPC,,PT,127.0
2017,A,0,National Accounts Statistics,NV_IND_MANFPC,,PT,130.0
2018,A,0,National Accounts Statistics,NV_IND_MANFPC,,PT,136.0
2019,A,0,National Accounts Statistics,NV_IND_MANFPC,,PT,142.0
2020,A,0,National Accounts Statistics,NV_IND_MANFPC,,PT,146.0
